filename,startTime,delta,distance,strokerate,heartrate,longitude,latitude
20250606-133259.pb,1749216779,104961,261.45996,26,116,,
20250606-133259.pb,1749216779,105453,262.91498,25,116,,
20250606-133259.pb,1749216779,107461,269.84268,25,117,,
20250606-133259.pb,1749216779,108291,271.27902,25,118,,
20250606-133259.pb,1749216779,110341,279.7716,24,120,,
20250606-133259.pb,1749216779,110950,281.08566,24,120,,
20250606-133259.pb,1749216779,112951,288.37512,23,119,,
20250606-133259.pb,1749216779,113160,288.37512,23,119,,
20250606-133259.pb,1749216779,115163,294.90042,23,118,,
20250606-133259.pb,1749216779,115821,298.0377,23,117,,
20250606-133259.pb,1749216779,117823,305.02673,23,116,,
20250606-133259.pb,1749216779,118823,307.76474,23,116,,
20250606-133259.pb,1749216779,120823,314.85056,23,116,,
20250606-133259.pb,1749216779,121070,314.85056,23,116,,
20250606-133259.pb,1749216779,123072,321.5084,23,117,,
20250606-133259.pb,1749216779,123964,324.71817,22,118,,
20250606-133259.pb,1749216779,125972,331.71033,22,119,,
20250606-133259.pb,1749216779,126970,334.62427,22,120,,
20250606-133259.pb,1749216779,128974,341.86325,22,120,,
20250606-133259.pb,1749216779,129651,343.18506,22,120,,
20250606-133259.pb,1749216779,131653,350.20255,22,120,,
20250606-133259.pb,1749216779,131971,351.6466,22,120,,
20250606-133259.pb,1749216779,133980,358.40848,22,119,,
20250606-133259.pb,1749216779,134690,360.23788,22,119,,
20250606-133259.pb,1749216779,136690,366.82715,22,120,,
20250606-133259.pb,1749216779,137394,370.22287,22,120,,
20250606-133259.pb,1749216779,139400,377.05023,22,120,,
20250606-133259.pb,1749216779,140091,378.70444,22,120,,
20250606-133259.pb,1749216779,142101,385.0793,22,120,,
20250606-133259.pb,1749216779,143311,388.22766,22,120,,
20250606-133259.pb,1749216779,145331,396.5676,22,121,,
20250606-133259.pb,1749216779,145640,396.5676,22,121,,
20250606-133259.pb,1749216779,147643,402.93198,22,121,,
20250606-133259.pb,1749216779,148870,407.41486,22,121,,
20250606-133259.pb,1749216779,150871,414.45792,22,122,,
20250606-133259.pb,1749216779,151562,415.6973,22,121,,
20250606-133259.pb,1749216779,153564,422.52597,22,122,,
20250606-133259.pb,1749216779,154050,423.85443,22,122,,
20250606-133259.pb,1749216779,156050,430.29477,22,123,,
20250606-133259.pb,1749216779,156802,433.20178,21,124,,
20250606-133259.pb,1749216779,158803,439.68826,21,123,,
20250606-133259.pb,1749216779,159580,441.20688,21,122,,
20250606-133259.pb,1749216779,161580,447.31433,21,120,,
20250606-133259.pb,1749216779,162523,450.4255,21,120,,
20250606-133259.pb,1749216779,164530,456.8172,21,120,,
20250606-133259.pb,1749216779,165670,459.76486,21,120,,
20250606-133259.pb,1749216779,167672,466.43604,21,120,,
20250606-133259.pb,1749216779,168463,469.34106,21,120,,
20250606-133259.pb,1749216779,170463,476.37366,21,122,,
20250606-133259.pb,1749216779,171220,477.62277,21,123,,
20250606-133259.pb,1749216779,173222,484.3576,22,122,,
20250606-133259.pb,1749216779,173650,486.00095,22,122,,
20250606-133259.pb,1749216779,175650,492.31033,22,121,,
20250606-133259.pb,1749216779,177011,496.9635,21,120,,
20250606-133259.pb,1749216779,179016,504.17755,21,120,,
20250606-133259.pb,1749216779,179261,504.17755,21,120,,
20250606-133259.pb,1749216779,181263,510.048,21,120,,
20250606-133259.pb,1749216779,182554,514.6302,21,120,,
20250606-133259.pb,1749216779,184556,521.54083,21,119,,
20250606-133259.pb,1749216779,185394,524.23004,21,119,,
20250606-133259.pb,1749216779,187402,531.38934,21,119,,
20250606-133259.pb,1749216779,188202,532.66437,21,119,,
20250606-133259.pb,1749216779,190210,539.52466,21,117,,
20250606-133259.pb,1749216779,191041,542.47046,21,116,,
20250606-133259.pb,1749216779,193042,549.5079,21,115,,
20250606-133259.pb,1749216779,193805,552.20807,21,115,,
20250606-133259.pb,1749216779,195805,559.3305,21,114,,
20250606-133259.pb,1749216779,196670,560.5813,21,114,,
20250606-133259.pb,1749216779,198670,567.19507,21,114,,
20250606-133259.pb,1749216779,199121,568.84216,21,114,,
20250606-133259.pb,1749216779,201130,574.90424,21,113,,
20250606-133259.pb,1749216779,202011,578.24805,21,113,,
20250606-133259.pb,1749216779,204012,584.4817,21,113,,
20250606-133259.pb,1749216779,205412,588.8313,21,112,,
20250606-133259.pb,1749216779,207414,595.3401,21,112,,
20250606-133259.pb,1749216779,209420,600.625,0,111,,
20250606-133259.pb,1749216779,211420,605.08154,0,111,,
20250606-133259.pb,1749216779,213421,609.08026,7,110,,
20250606-133259.pb,1749216779,213630,609.08026,7,110,,
20250606-133259.pb,1749216779,215633,613.80884,7,111,,
20250606-133259.pb,1749216779,216373,616.44,22,112,,
20250606-133259.pb,1749216779,218381,622.4108,22,117,,
20250606-133259.pb,1749216779,219674,625.2191,22,117,,
20250606-133259.pb,1749216779,221682,631.8283,22,117,,
20250606-133259.pb,1749216779,222481,634.5555,22,116,,
20250606-133259.pb,1749216779,224482,641.67413,21,114,,
20250606-133259.pb,1749216779,225254,643.0511,21,113,,
20250606-133259.pb,1749216779,227254,649.86694,21,113,,
20250606-133259.pb,1749216779,228023,652.78094,21,113,,
20250606-133259.pb,1749216779,230031,659.7979,22,113,,
20250606-133259.pb,1749216779,230813,662.48975,22,114,,
20250606-133259.pb,1749216779,232821,669.504,22,114,,
20250606-133259.pb,1749216779,233612,670.7158,22,114,,
20250606-133259.pb,1749216779,235613,677.52893,21,113,,
20250606-133259.pb,1749216779,235960,678.97906,21,113,,
20250606-133259.pb,1749216779,237963,685.52875,21,111,,
20250606-133259.pb,1749216779,239190,688.5896,21,111,,
20250606-133259.pb,1749216779,241190,695.4465,21,111,,
20250606-133259.pb,1749216779,241980,698.3287,21,111,,
20250606-133259.pb,1749216779,243982,705.6209,22,113,,
20250606-133259.pb,1749216779,244823,708.3398,22,113,,
20250606-133259.pb,1749216779,246843,715.6841,22,114,,
20250606-133259.pb,1749216779,247583,716.9903,22,114,,
20250606-133259.pb,1749216779,249591,724.178,21,114,,
20250606-133259.pb,1749216779,250414,726.96594,21,114,,
20250606-133259.pb,1749216779,252414,734.2662,22,115,,
20250606-133259.pb,1749216779,253160,735.55066,22,115,,
20250606-133259.pb,1749216779,255160,742.5346,21,116,,
20250606-133259.pb,1749216779,255972,745.38916,21,117,,
20250606-133259.pb,1749216779,257981,752.5767,21,118,,
20250606-133259.pb,1749216779,258350,753.94244,21,119,,
20250606-133259.pb,1749216779,260351,760.9356,21,120,,
20250606-133259.pb,1749216779,261591,764.043,21,121,,
20250606-133259.pb,1749216779,263594,771.4095,21,121,,
20250606-133259.pb,1749216779,263920,772.9186,21,121,,
20250606-133259.pb,1749216779,265922,780.0364,21,120,,
20250606-133259.pb,1749216779,267171,783.3147,21,120,,
20250606-133259.pb,1749216779,269178,790.5792,22,120,,
20250606-133259.pb,1749216779,269971,793.55066,22,120,,
20250606-133259.pb,1749216779,271975,800.9971,22,120,,
20250606-133259.pb,1749216779,272711,802.33496,22,121,,
20250606-133259.pb,1749216779,274711,809.385,22,122,,
20250606-133259.pb,1749216779,275484,812.2858,22,122,,
20250606-133259.pb,1749216779,277492,819.7156,22,122,,
20250606-133259.pb,1749216779,277868,821.09247,22,122,,
20250606-133259.pb,1749216779,279868,828.1868,22,122,,
20250606-133259.pb,1749216779,281050,831.26575,22,122,,
20250606-133259.pb,1749216779,283054,838.712,22,123,,
20250606-133259.pb,1749216779,283848,841.62646,22,124,,
20250606-133259.pb,1749216779,285852,849.5364,22,125,,
20250606-133259.pb,1749216779,286270,849.5364,21,125,,
20250606-133259.pb,1749216779,288270,856.3399,21,125,,
20250606-133259.pb,1749216779,289091,860.292,21,124,,
20250606-133259.pb,1749216779,291091,867.34595,21,123,,
20250606-133259.pb,1749216779,292371,872.3753,21,122,,
20250606-133259.pb,1749216779,294373,879.8646,21,122,,
20250606-133259.pb,1749216779,295260,881.3578,21,122,,
20250606-133259.pb,1749216779,297260,888.6335,21,123,,
20250606-133259.pb,1749216779,298091,891.7859,21,124,,
20250606-133259.pb,1749216779,300091,899.1394,21,125,,
20250606-133259.pb,1749216779,300484,900.68207,21,125,,
20250606-133259.pb,1749216779,302490,907.2131,21,126,,
20250606-133259.pb,1749216779,303324,910.33093,21,127,,
20250606-133259.pb,1749216779,305332,917.1162,21,127,,
20250606-133259.pb,1749216779,306710,920.17175,21,127,,
20250606-133259.pb,1749216779,308710,927.1109,21,127,,
20250606-133259.pb,1749216779,309160,928.8713,21,127,,
20250606-133259.pb,1749216779,311160,935.4615,21,127,,
20250606-133259.pb,1749216779,312193,939.0026,21,127,,
20250606-133259.pb,1749216779,314201,945.4239,21,127,,
20250606-133259.pb,1749216779,315442,949.69604,21,126,,
20250606-133259.pb,1749216779,317442,956.4778,21,126,,
20250606-133259.pb,1749216779,317870,957.779,21,126,,
20250606-133259.pb,1749216779,319871,964.40845,21,126,,
20250606-133259.pb,1749216779,320731,966.1678,21,126,,
